,id,title,synopsis,genres,tags,director,production_company
20,28,Joe Bullet,"When local soccer team, 'The Eagles' fall prey to a series of onslaughts from a mysterious gangster only a week before the championship final, the team turns to the one man that can help save their chances at victory - Joe Bullet (Ken Gampu). Joe will have to battle against villainous henchmen, escape booby-trap bombs and bring his martial arts expertise to the fore in order to survive an attack from a deadly assassin. In the end he will have to infiltrate the mysterious gangster's hide-out in a dangerous cat-and-mouse rescue mission to save not only The Eagles' two kidnapped star players, but that of his beautiful love interest, Beauty (Abigail Kubeka).","[""Action"",""Classic"",""Crime""]","Ken Gampu, Joe Lopez, Abigail Kubeka, Jimmy Sabe, Loius de Witt",Aaron Peterson DDS,The Truth
21,29,TOUR DU FASO,"Although it is the second biggest sport event in Africa, everything is a lot different from the Tour de France. The Tour du Faso is something unique, telling the story of each cyclists experiences as they participate in Africa's biggest cycling race.","[""Action"",""Drama"",""Sports"",""True Story""]","Abdoul Aziz Nikiema, Rasmane Ouedradgo, Mahamadi Sawadogo, Wahab Abdoul, Wilm Huygen",Robert Elliott,XYZ Nation
22,30,SUPA MODO,"Jo (Stycie Waweru), a witty 9 year-old terminally ill Girl is taken back to her rural Village to Live out the Rest of her short Life. Her only Comfort, during these dull Times, are her Dreams of being a Superhero; which prove to be Something that her rebellious teenage Sister - Mwix (Nyawara Ndambia), overprotective Mother - Kathryn (Marrianne Nungo) and the entire Village of Maweni, think they can Fulfill.","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Adventure"",""Christmas Under Curfew"",""Drama"",""Family"",""Family Screen Time"",""Fantasy"",""Huduma Day Offer!"",""Super Hero""]","Stycie Waweru, Marrianne Nungo, Nyawara Ndambia, Johnson Gitau Chege, Likarion Wainaina",Gail Gay,Emotional Damage!
23,31,LUSALA,"Lusala (Brian Ogola), a young man adopted by an affluent Nairobi family a decade ago, is forced to leave the nest and start a new life by himself. Eager and acquiescent at first, he makes the most of his independence, until the demons from his past return, and he has to face them on his own.","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Drama"",""Family"",""Madaraka Day Weekend Movie Marathon Offer"",""Supernatural"",""Suspense""]","Brian Ogola, Stycie Waweru, Mkamzee Mwatela, Alan Oyugi, Mugambi Nthiga",Stanley Johnson,Emotional Damage!
24,32,"BILAL, A NEW BREED OF HERO","Based on a True Story of nearly 1,400 Years ago, a Boy with Dreams of being a great Warrior, and his Sister, are Abducted and Taken to a far Away land as Slaves. Growing up in a World of Greed and Injustice, BILAL finds the Courage to Make a Change.
","[""Action"",""Adventure"",""Animation"",""Drama"",""Family"",""Family Screen Time"",""GET 20% OFF THIS EID-AL-ADHA"",""History"",""Thriller"",""True Story""]","Ian McShane, Adewale Akinnuoye-Agbaje, China Anne McClain",Melinda Long,Okay Pictures
25,33,SUBIRA,"A young Journalist - Mark Makoma (Michael O. Onen) sets out to a remote Village to Document an untold Story of a Girl (Whitney Lynn Cheruto) with unique abilities. In his Quest to use modern Technology to Capture this Story, Mark finds himself in the middle of a World full of Unusual occurrences.","[""Action"",""Drama"",""Fantasy"",""Madaraka Day Weekend Movie Marathon Offer"",""Supernatural"",""Suspense"",""Thriller""]","Mike Obbo Onen, Steenie Njoroge, Teresa Shikolio, Irene Soti, Whitney Lynn Cheruto, Steve Ominde ",Russell Simmons,Good Guys
26,34,COERCED REVENGE,"After High School, Lulu (Vivian Anyango) gets accepted into the prestigious University of Nairobi. However, she is torn between going to University or taking care of her ailing Mother (Midimo Atieno). Her Uncle Shaka (Javier Ywaya), who was radicalised while in the Middle East and converted to Islam, approaches her and offers Medical Assistance for her Mother; but only if Lulu participates in an Extremist Act, that could lead to one of the worst Terrorist Attacks that Kenya has ever seen.","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Action"",""Crime"",""Drama"",""Father\u2019s Day Offer"",""Madaraka Day Weekend Movie Marathon Offer""]","Vivian Anyango, Midimo Atieno, Javier Ywaya, Gitau Ngogoyo, Jack Mutinda, Chris Spencer",Russell Simmons,Jingle Bells
27,35,SIPHO DLAMINI,"Sipho Dlamini (Xolani Mabaso) is a meagre 20 year-old Dropout who Falls in Love with Nomsa (Montsheng Tlapana) - a suburban 18 year-old Student. As their Relationship continues to blossom, Nomsa falls Pregnant, infuriating her Father who kicks her out of his House. Nomsa and Sipho’s relationship is put to the Test as she Deals with her Pregnancy and Sipho scrounges for their Survival.","[""Drama"",""Romance""]","Xolani Mabaso, Montsheng Tlapana, Martha Sigasa, Sophie Mogotsi, Moses Senakgomo",Erica Hawkins,Fluent
28,36,`95,"A young Boy, named Popo (Kelvin Sarfo), really Struggles with the unexpected Loss of his older Brother - Nana Yaw (Samuel Ayi Tormeti).

In order to Heal, he must Fight his Fears and Create a Bond with Someone he least Expects. 

This takes him on an emotional Journey, that Tests his Wits and Will.","[""Drama"",""Family"",""Family Screen Time"",""Father\u2019s Day Offer"",""Feel Good"",""Internationally Acclaimed""]","Kelvin Sarfo, Alexanda Barawusa, Samuel Ayi Tormeti, Flavia Amissah Koomson, Kofi Kyei",Keith Lawson,Funny Entertainment
29,37,JONAROBI,"Andrew (Cliff Ochieng), and his young Family (Terry Tee), live an affluent and colourful Life in Nairobi city. 

One day, he makes a rare Visit back to his rural Village where his Mother (Eunice Ndege) lives in abject Poverty.

He has also Failed to Build himself a Home in the Village, subjecting him to Ridicule by his entire rural Family.

So, the Visit ends up Being a hilarious Culture Shock in Luoland.","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Comedy"",""Drama"",""Dramedy"",""Family"",""Huduma Day Offer!""]","Cliff Ochieng, Terry Tee, Oprah Atieno, Eunice Ndege, Stephan Omondi, Ambrose Nyakira, Odongo Robbie",Keith Lawson,Allies Brothers
30,38,KIZINGO,"11 year-old Johni (Jakes Israel), and his 10 year-old Sister - Soni (Fatuma Ali), Stumble upon a Sack of Cash hidden by Thugs - Robaa (Mohammed Said) and Kauzi (Ali Shahibu).
 
When the Thugs realise that the Kids found their Stash, they do their Best to Reclaim it; but their Blundering ways Create more Comedy than Results.
 
In a Twist of Events, a Shamba Boy - Mwakazi (Mwanzele Tindo) finds the Loot, but Loses it to Mali (Isiaya Evans) the Hawker.
 
A Swahili Comedy, set in Kenya, KIZINGO portrays the Twists and Turns that Fate throws on even the Best-laid Plans.
 
Will the bumbling Thugs manage to Retrieve the Cash, or Will the Kids outwit Them?","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Adventure"",""Comedy"",""Crime"",""Drama"",""Dramedy"",""Family"",""Family Screen Time"",""Father\u2019s Day Offer"",""Huduma Day Offer!""]","Jakes Israel, Fatuma Ali, Mohammed Juma Said, Pretty Mutave, Julian Mwanzele Tindo, Simiyu Barasa.",Samantha Norris,Good Guys
31,39,WAZI? FM,"MoMo (Mahad Ahmed Hashi) is a Somali urban Refugee, living in Eastleigh, Nairobi. 

He runs the Community Radio Station called WAZI? FM, with his Kenyan friend - Kevo (Joseph Wairimu).

Everything is going Well at WAZI? FM, until one day when MoMo and Kevo stumble upon a Dark Secret in their Community; then MoMo goes Missing. 

An Inspector from the Kenyan Special Forces (Raymond Ofula) questions several Suspects around his Disappearance, which Unravels the Possibilities of Terrorism, Corruption, Romance, Friendship and Betrayal.","[""Crime"",""Drama"",""Internationally Acclaimed"",""Madaraka Day Weekend Movie Marathon Offer"",""Romance"",""Suspense"",""Thriller""]","Joseph Wairimu, Mahad Ahmed Hashi, Lizz Njagah, Paul Ogola, Shirlyn Wangari, Zeitun Salat, Mohammed Ali, Raymond Ofula, Derrick Waswa, Ojiambo Ainea, Kevin Samuel, Amina Abdi Cherry, Mick Unaa Michael, Vandana Snyder, Jinny Ishumi, Asha Amina Kyenzi, Vincenzo Cavallo",David Lopez,XYZ Nation
32,40,FAMILY MEETING,"Jesse (Gitura Kamau), Moses (Abubakar Muindi) & his fiancée Alison (Maureen Koech) and Barbara (Akinyi Aluoch) meet at their Parents’ home (Raymond Ofula & Florence Nduta), to Celebrate their 40th Wedding Anniversary. 

But, what Should have been  a Celebration, turns into a Dramedy of Bickering Siblings, Unresolved Conflict and Untold Secrets that Causes heightened Tension, Threatening to Tear their Family Apart.","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Comedy"",""Drama"",""Dramedy"",""Family"",""Kalasha Award Winners""]","Furet Films, Betty Kathungu-Furet, Simiyu Barasa, Gitura Kamau, Abubakar Muindi, Maureen Koech, Akinyi Aluoch, Raymond Ofula, Florence Nduta",Katie Rose,Capital Two
33,41,DISCONNECT,"A Romantic Comedy about Celine (Brenda Wairimu) - a young, single successful Dentist, living a fabulous Life in Nairobi alongside her Childhood best Friend - Josh (Nick Mutuma).  One unsuspecting evening, her Besties bring up the uncanny Coincidence that all of Celine’s ex-boyfriends have One Thing in Common – they resemble Josh in one Way or another.  Celine immediately Brushes it off; but as she Spends more Time with Josh, things become rather Uncomfortable, because her besties' Observations might just be True....","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Chick Flick"",""Comedy"",""Drama"",""Feel Good"",""Huduma Day Offer!"",""Romance"",""Romantic Comedy""]","Brenda Wairimu, Nick Mutuma, Pascal Tokodi, Catherine Kamau, Patricia Kihoro, Pierra Makena, Bridget Shighadi, Brian Ogola, Justin Mirichii, Arthur Sanya, Tosh Gitonga, Michael M Jones, Natasha Likimani",Angela Jimenez,The Truth
34,42,KISSING SHADOWS,"A gripping Romantic Drama, about Best Friends of the Opposite Sex, whose Friendship is Put to Test, when he Decides to Propose to the Woman he Loves. During their Engagement, however, many Secrets are Unravelled and Things do Not go as Planned. 

","[""Drama"",""Romance""]","Anthony Monjaro, Uche Ogbodo, Malcom A Benson, Chinedu Omorie, Michelle Ikeagulu, Eugene Mantaluta",Deborah Garrett,Funny Entertainment
35,43,LONDON FEVER,"London Fever tells the hilarious story of two young men Ade (Alexx Ekubo) and Chucks (Mike Godson) who live with their Father (Chiwetalu Agu) in a ghetto in Lagos, Nigeria. 

The humorous duo decide to travel to London at all costs, swindling anyone who may stop them from achieving their mission. 
","[""Comedy"",""Family"",""Feel Good""]","Alexx Ekubo, Mike Godson, Chiwetalu Agu, Charles Uwagbai, Toyin Aimakhu, Juliet Ibrahim, John Okafor, Lilian Esoro, Etinosa Idemudia",David Lopez,Boiiii
36,44,TWENDE BERLIN,"Superhero - UPENDO HERO, and the UKOO FLANI Hip‐Hop Clan, set Forth from sunny Nairobi to wintery Berlin, on a Social and Cultural quest to Understand the Impact of Gentrification and the Privatisation of Public Spaces on Public Art.

During their Journey, they Uncover the Importance of Public Spaces for Community, as well as for cultural & collective Memory.
 
The Documentary is a highly Entertaining and Music-filled Challenge, from these Hip‐Hop Artists and their Superhero, for more Artists and concerned Urban Citizens to Take a Stand in claiming and reclaiming Public Spaces for Art.","[""Activism"",""Music"",""Musical"",""Political"",""Rap\/Hip-hop"",""Super Hero"",""True Story""]","Dr. Farasi, Sandhu Baba, Adrian Storey, Mfalme Mrefu, Ukoo Flani, Daniel Matz, Chzn Brain, Pius Akwabi, Teichmann Brothers, Outburst Badram, Kainer Frey, Johann Zeitler, Volcano Brothers, Tune Up e.V., Puppetmastaz, Radi Africa, Jahcoozi Urban Mirror CBO, Cultural Video Foundation.",Keith Lawson,Jingle Bells
37,45,TRUTH & TIDINGS,"Three ladies are Embroiled in a never-ending Sibling Rivalry for the Love of a Woman - who turns out Not to be the Mother of Any of Them, are Left in a Quagmire as the Splinter of Truth lurking in the Heart of a dying Caregiver, becomes the Web that Connects the Mystery. This melodramatic Movie reveals the Intrigues, the Suspense, the Love-Hate Relationship and the mysterious Peace they Find in All of the Mess.","[""Drama"",""Family"",""Romance"",""Suspense""]","Frederick Leopard, Roselyn Nsiggah, Racheal Oniga, Gregory Ojefua",Mrs. Brenda Montgomery MD,Funny Entertainment
38,46,CODE 254,"A womanising Detective Lomo (Angelo Kinyua) works to Uncover a Cartel that’s Trying to Control the Entertainment Space in Nairobi and beyond.

The Cartel wants to Takeover the Multi-million Shilling music Recording Business, through Intimidation and Murder of the main Players: Nonini (Hubert Nakitare), Lady B (Bernice Nduku) and Chege TMK (Chege Chigunda); in Order to Create a new Drug Route into East Africa, where a Growing Population of Moneyed Youth is Hungry for fresh & exciting Things.","[""Action"",""Crime"",""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""Music"",""Rap\/Hip-hop"",""Suspense"",""Thriller""]","Hubert Nakitare (Nonini), Willie Owusu, Angelo Kinyua, Daniel Asmelash, Ndungi Githuku, Bernice Nduku (Lady B), Chege Chigunda (Chege TMK)",Christine Johnson,Jingle Bells
39,47,BACKLASH,"Kiisha has the perfect Life. The perfect Husband, the perfect Home, and now the perfect Child.

Life has made Perfect Sense, since she met Toby.

But the Situation takes an unlikely Turn, when Arrangements are Made for her to Stay at her In-Laws, while her Husband is Away. 

BACKLASH delves into the sometimes-strained Family Relationships usually Hidden from Public View, and uses carefully structured Flashbacks to Tell the Story of a woman’s Struggle to find Love and Happiness.","[""Drama"",""Family"",""Madaraka Day Weekend Movie Marathon Offer""]","Joyce Gachanja, Reuben Odanga, Wambui Murima, Joseph Omari, Abubakar Mwenda, Sarah Muhoho, Mary Migui, Cajetan Boy",Erica Hawkins,Pulse Comics
40,48,AFRICAN WOMEN IN THE TIME OF  COVID-19,"The Ladima Foundation, in Partnership with DW Akademie, is proud to Present the Ten selected Titles from the AFRICAN WOMEN IN THE TIME OF COVID-19 Short Film Competition.

The competition invited African Women to Share their Stories, about the Personal, Economic, and Social impact of COVID-19 in their Countries.

The brave and powerful Short Films submitted, Reflect the extremely Difficult Circumstances that many African Women are Facing.

The Stories have Shown how, in too many Cases, the Pandemic has indeed Impacted women Harder, and in different Ways, than their Male counterparts.

An overwhelming Response saw just under 200 Women, from 18 African Countries, sharing their moving and honest Stories on a Diversity of Topics, with dominant Themes of Domestic Violence, altered Access to Opportunities, increased Burden of Care, Resilience and Hope.","[""Chick Flick"",""Drama"",""Short & Sweet""]","Malak El Araby, Fezeka Tholakele, Hellen Samina Ochieng, Chioma Divine Favour Mathias, Aurelie Stratton, Wambui Gathee, Yehoda Hammond, Skinnor Davillah Agello, Neha Manoj Shah, Faith Ilevbare",Nicholas Mack,Arrowhead
41,49,SNEAK,"A short Thriller of a Girl (Aika Mwachia) who is Home alone, but suddenly Realises that there is Someone or Something else in the House with her.","[""Horror"",""JENGA JIRANI CHARITY FESTIVAL"",""Madaraka Day Weekend Movie Marathon Offer"",""Short & Sweet"",""Supernatural"",""Thriller""]","Eugene 'Rango' Musau, Aika Mwachia",Aaron Peterson DDS,Good Guys
42,50,Living in Bondage: Breaking Free,"Living In Bondage: Breaking Free is the story of Nnamdi Okeke, a young & ambitious man, who, like most young people today, wants more out of life. An encounter with a family friend with a notoriously dark past leads him to getting a job at the Zion Group, one of the most successful companies in Africa. Nnamdi quickly becomes drawn to the company’s C.E.O, Richards Williams, who takes Nnamdi under his wing, fast-tracking his career and giving him access to the luxurious lifestyle he has always longed for. But to keep his new life, Nnamdi must join “The Six” a devil worship cult that Richard leads.","[""Drama"",""Supernatural""]","Ramsey Nuoah, Steve Gukas, Dotun Olakunri, Charles Okpaleke, Nicole Asinugo, C.J. Obasi, Kanayo O. Kanayo, Kenneth Okonkwo, Bob Manuel Dogwu, Kalu Ikeagu, Eyinna Nwigwe, Chuks Chike, Nancy Isime, Swanky JKA, Munachi Abii, Nigerian movie",Kara Alexander,Emotional Damage!
43,51,YOU AGAIN,"Have you ever Wondered what it would be like Working with your Ex?

YOU AGAIN is the Story of Sophia (Mimi Mars) - a young, well-educated woman, who lands a Job at a newly launched TV Station.

But, what was Supposed to be her Dream Job, quickly Turns into a Nightmare, as Sophia discovers that she’ll be Co-Anchoring the News with her Ex - Kingsley (Nick Mutuma)!","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""30% OFF THESE ROMANCES!"",""Chick Flick"",""Comedy"",""Drama"",""Feel Good"",""Madaraka Day Weekend Movie Marathon Offer"",""New Year's Weekend"",""Romance"",""Romantic Comedy""]","Nick Mutuma, Mimi Mars, Kate Snow, Amalie Chopetta, Morris Mwangi, Neomi Nganga, Natasha Likimani",Ernest Rojas,Good Guys
44,52,1988,"Written by Charles Chanchori, and Directed by Robert Asimba, 1988 is the Story of Khoti Babu – a 21 year-old Law Student at the University of Nairobi, who gets on the Wrong side of the Law, for allegedly Bad-mouthing the Government. While in Custody, Khoti is Subjected to brutal Torture at Nyayo House; then Blackmailed into Turning-in his Marxist Professors, in Exchange for Immunity and a secure Government Job.","[""Activism"",""Drama"",""History"",""JENGA JIRANI CHARITY FESTIVAL"",""Madaraka Day Weekend Movie Marathon Offer"",""Political"",""Short & Sweet""]","Christine Njeri, Robert Asimba,Charles Muchori,Mike Njeru, Helena Waithera, Raymond Ofula, Patrick Gatimu, Qwachez Kwach, Dennis Ragot, Kelvin Akoto, Prince Wafula.",Pamela Allen,Good Guys
45,53,NAPUNYI,"Napunyi (Auudi Rowa) has always been Bullied by the Neighborhood Gang, lead by a Thug named Champez (Innocent Njuguna), Everytime she comes from School.

They tease her Name, calling her ‘Punyii’ - slang for Female private Parts. 

Irked, she Secretly picks up Boxing, by Sneaking into Maathe’s old neighborhood Gym every Night, all Hooded up, to Train when No-one else is Watching. Unknown to Napunyi, the Gym also Hosts an illegal Fight Club.

As fate would have it, one Night a disguised Napunyi is Mistaken as a mysterious Challenger; so she must Fight the current Fight Club Champion – Champez.

Suffering at the Taunts of this Bully for Years, this is her Chance for Revenge. Does she Take it?","[""Action"",""Chick Flick"",""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""Short & Sweet"",""Sports""]","Naomi Mburuh, L Biko Nyongesa, Auudi Rowa, Innocent Njuguna, Kieran Popo Ratanya, Chris T-bag, Sam Psenjen, Ruth Maingi, Frank Oyosa, Telvin Vincent Mukui",Samantha Norris,Emotional Damage!
46,54,WAKAMBA FOREVER,"As is Tradition, the Great Chief Masaku presides over Disputes and Decrees for his People. 

When McMillan - an Emissary for the Queen of Great Britain, arrives and demands Submission, Masaku has two Choices - to Yield or Fight.","[""Comedy"",""JENGA JIRANI CHARITY FESTIVAL"",""Local Language"",""Madaraka Day Weekend Movie Marathon Offer"",""Short & Sweet""]","Alex “Warle” Maina, Alfred Munyua, Caroline Mbula, Justin Mirichii, Caleb Ndaka",Cassandra Diaz,The Truth
47,55,FROM HERE TO TIMBUKTU,"In 1593, the Saadian army, led by Judar Pasha (Paul Mbuvi) of Morocco, had Ransacked the City of Timbuktu in Mali. 

Four Children, from the Four corners of Africa - Chep (Kanana Gichuru) from Kenya, Omar (Ken Mwalabu) from Egypt, Doudou (Eunice Muturi) from Senegal and Thandi (Wanjiku Mwaura) from South Africa, travel Back in Time to help Ahmad Baba (Nick Odhiambo) Save his Library from Becoming a Swimming Pool!","[""26% Off in our Birthday Month"",""Adventure"",""Animation"",""Family"",""Family Screen Time"",""Father\u2019s Day Offer"",""Feel Good"",""History"",""Kalasha Awards Nominees"",""Musical"",""Short & Sweet""]","Kanana Gichuru, Ken Mwalabu, Wanjiku Mwaura, Nick Odhiambo, Paul Mbuvi, Edward Khaemba, Amina Abdi, Linda Napwori, Kanana Gicheru, Priston Kedohi, Michael Kago, Brian Kyalo Msafiri, Eunice Muturi",Thomas Cameron,Good Guys
